Name	SMILES
bromoform	BrC(Br)Br
brimonidine	Brc1c(NC2=NCCN2)ccc2nccnc12
acetylene	C#C
methylpentynol	C#CC(C)(O)CC
ethchlorvynol	C#CC(O)(C=CCl)CC
gestodene	C#CC1(O)C=CC2C3CC=C4CC(=O)CCC4C3CCC21CC
tibolone	C#CC1(O)CCC2C3C(C)C=C4CC(=O)CCC4C3CCC21C
norelgestromin	C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC
etonogestrel	C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC
norethisterone	C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C
norethindrone	C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C
norgestrel	C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC
levonorgestrel	C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC
etynodiol	C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3CCC21C
desogestrel	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC
lynestrenol	C#CC1(O)CCC2C3CCC4=CCCCC4C3CCC21C
danazol	C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
ethinylestradiol	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
mestranol	C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
quinestrol	C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C
norgestimate	C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC
ethynodiol diacetate	C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C
ethinamate	C#CC1(OC(N)=O)CCCCC1
pralatrexate	C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
hexapropymate	C#CCC1(OC(N)=O)CCCCC1
selegiline	C#CCN(C)C(C)Cc1ccccc1
pinazepam	C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
rasagiline	C#CCNC1CCc2ccccc21
pargeverine	C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1
erlotinib	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
icotinib	C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1
cinnarizine	C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
anatabine	C1=CCC(c2cccnc2)NC1
pacritinib	C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1
1,2-benzodiazepine	C1=Cc2ccccc2NN=C1
perhexiline	C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
tedisamil	C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1
sparteine	C1CCN2CC3CC(CN4CCCCC34)C2C1
pentetrazol	C1CCc2nnnn2CC1
tretamine	C1CN1c1nc(N2CC2)nc(N2CC2)n1
piperazine	C1CNCCN1
ethylene oxide	C1CO1
rilmenidine	C1COC(=NC(C2CC2)C2CC2)N1
1,4-dioxane	C1COCCO1
methenamine	C1N2CN3CN1CN(C2)C3
enibomal	C=C(Br)CC1(C(C)C)C(=O)NC(=O)N(C)C1=O
enbucrilate	C=C(C#N)C(=O)OCCCC
isobutylene	C=C(C)C
methacrylic acid	C=C(C)C(=O)O
(4r)-limonene	C=C(C)C1CC=C(C)CC1
cannabidiol	C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O
etacrynic acid	C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
bexarotene	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
doxercalciferol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O
calcipotriol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O
tacalcitol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)C)CC(O)CC1O
eldecalcitol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(OCCCO)C1O
calcitriol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
alfacalcidol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O
falecalcitriol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(C(F)(F)F)C(F)(F)F)CC(O)CC1O
maxacalcitol	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)OCCC(C)(C)O)CC(O)CC1O
entecavir	C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21
camphene	C=C1C2CCC(C2)C1(C)C
gibberellic acid	C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O
exemestane	C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
fluprednidene	C=C1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
fluprednidene acetate	C=C1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(C)=O
segesterone acetate	C=C1CC2C3CC=C4CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O
eribulin	C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4
ergocalciferol	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
sitocalciferol	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCC(CC)C(C)C
calcifediol	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O
vitamin d3	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
cholecalciferol	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
nalmefene	C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
andrographolide	C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O
efinaconazole	C=C1CCN(C(C)C(O)(Cn2cncn2)c2ccc(F)cc2F)CC1
metacycline	C=C1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12
zanubrutinib	C=CC(=O)N1CCC(C2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1
poziotinib	C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1
ibrutinib	C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
sotorasib	C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)C(C)C1
mavelertinib	C=CC(=O)NC1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)CC1F
mobocertinib	C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
osimertinib	C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
almonertinib	C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
lazertinib	C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1
vigabatrin	C=CC(N)CCC(=O)O
colforsin	C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C
retapamulin	C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O
lefamulin	C=CC1(C)CC(OC(=O)CSC2CCC(N)CC2O)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O
cefdinir	C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1
cefixime	C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(N)n3)C2SC1
asunaprevir	C=CC1CC1(NC(=O)C1CC(Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
grazoprevir	C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)OC1CC1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1
quinine	C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
quinidine	C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
cinchonidine	C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12
apronalide	C=CCC(C(=O)NC(N)=O)C(C)C
methohexital	C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
aprobarbital	C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
secobarbital	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
thiamylal	C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
butalbital	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
altrenogest	C=CCC1(O)CCC2C3=C(C=CC21C)C1=C(CC3)CC(=O)CC1
allylestrenol	C=CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C
bioallethrin	C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
undecylenic acid	C=CCCCCCCCCC(=O)O
boldenone undecylenate	C=CCCCCCCCCC(=O)OC1CCC2C3CC=C4CC(=O)C=CC4(C)C3CCC12C
cabergoline	C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21
naloxone	C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
naloxegol	C=CCN1CCC23c4c5ccc(O)c4OC2C(OCCOCCOCCOCCOCCOCCOCCOC)CCC3(O)C1C5
alizapride	C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC
talipexole	C=CCN1CCc2nc(N)sc2CC1
alclofenac	C=CCOc1ccc(CC(=O)O)cc1Cl
oxprenolol	C=CCOc1ccccc1OCC(O)CNC(C)C
altizide	C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1
allicin	C=CCSS(=O)CC=C
rocuronium	C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1
eugenol	C=CCc1ccc(O)c(OC)c1
alprenolol	C=CCc1ccccc1OCC(O)CNC(C)C
adavosertib	C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
povidone	C=CN1CCCC1=O
sodium apolate	C=CS(=O)(=O)[O-]
protoporphyrin	C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)=C(C)C5=CCC(=O)O)c(CCC(=O)O)c4C)=C(C)C3=CC
